Year B-side                  A-side			 Label
1947 Half Nelson             Goin' to Mintons            Savoy
1947 Sippin' at Bell's       Milestones                  Savoy
1948 Half Nelson             Little Willie Leaps         Savoy
1949 Budo                    Move                        Capitol
1949 Godchild                Jeru                        Capitol
1949 Israel                  Boplicity                   Capitol
1950 Darn That Dream         Venus Demilo                Capitol
1951 Blue Room               Morpheus                    Prestige
1951 Bluing                  Conception                  Prestige
1951 Bluing,Pt2              Bluing,Pt1                  Prestige
1951 Dig,Pt2                 Dig,Pt1                     Prestige
1951 It's Only A Paper Moon  Dig                         Prestige
1951 My Old Flame,Pt2        My Old Flame,Pt1            Prestige
1951 Out Of The Blue,Pt2     Out Of The Blue,Pt1         Prestige
1951 Whispering              Down                        Prestige
1952 Chance It               Yesterdays                  Blue Note
1952 Dear Old Stockholm      Woody'n You                 Blue Note
1952 Donna                   The Squirrel                Blue Note
1952 Donna                   Well, You Needn't           Blue Note
1953 C.T.A.                  Kelo                        Blue Note
1953 Enigma                  Tempus Fugit                Blue Note
1953 I Waited For You        Ray's Idea                  Blue Note
1953 Lazy Susan              Tempus Fugit                Blue Note
1953 Lazy Susan              Tempus Fugit                Blue Note
1953 Miles Ahead             When Lights Are Low         Prestige
1953 Smooch                  My Funny Valentine          Prestige
1953 Tasty Pudding,Pt2       Tasty Pudding,Pt1           Blue Note
1954 Blue Haze,Pt2           Blue Haze,Pt1               Prestige
1954 But Not For Me,Pt2      But Not For Me,Pt1          Prestige
1954 Donna                   Well, You Needn't           Blue Note
1954 Lazy Susan              Tempus Fugit                Blue Note
1954 That Old Devil Moon     You Don't Know What...      Prestige
1954 That Old Devil...       Four                        Prestige
1954 Walkin',Pt1             Walkin',Pt1                 Prestige
1954 Weirdo                  The Leap                    Blue Note
1955                         Blue Moods, Vol. 1          Debut
1955                         Blue Moods, Vol. 2          Debut
1955 A Night In Tunisia,Pt2  A Night In Tunisia,Pt1      Prestige
1955 Green Haze,Pt2          Green Haze,Pt1              Prestige
1955 Just Squeeze Me         S'posin'                    Prestige
1956 'Round Midnight         Airegin                     Prestige
1956 Diane                   The Surrey With...          Prestige
1956 If I Were A Bell,Pt2    If I Were A Bell, Pt1       Prestige
1956 It Never Entered...,Pt2 It Never Entered...,Pt1     Prestige
1956 Oleo                    Tune Up                     Prestige
1956chuj When I Fall In Love,Pt1     Prestige
